,state_name,state_code,geo_id,county_name,area_sqmi,log_aland_sqmi,pop_est_2015,log_pop_est_2015,pop_den_2015,log_pop_den_2015,tot_pop_ch_2015,pop_ch_10000_2015,lat,long
0,Alabama,AL,1001,Autauga County,594.439,6.387618103633385,55347,10.921377736125875,93.10795556819119,4.533759632492489,57,10.298661174047373,32.532237,-86.64644
1,Alabama,AL,1003,Baldwin County,1589.808,7.3713685332058585,203709,12.224447783860375,128.1343407505812,4.853079250654518,3996,196.16217251078746,30.659218,-87.74606700000001
2,Alabama,AL,1005,Barbour County,884.877,6.785448652298043,26489,10.184484831459187,29.93523393646801,3.3990361791611448,-326,-123.06995356563101,31.870253,-85.40510400000001
3,Alabama,AL,1007,Bibb County,622.5830000000001,6.4338769527840975,22583,10.024952689817304,36.2730752365548,3.591075737033207,34,15.055572775981933,33.015893,-87.12714799999999
4,Alabama,AL,1009,Blount County,644.807,6.468951047212896,57673,10.962544405370902,89.44226722104443,4.493593358158007,15,2.6008704246354446,33.977358,-86.56644
5,Alabama,AL,1011,Bullock County,622.806,6.434235073824805,10696,9.27762511878178,17.173887213674885,2.8433900449569736,-133,-124.3455497382199,32.101759,-85.717261
6,Alabama,AL,1013,Butler County,776.828,6.655218961641608,20154,9.911158058840348,25.94396700427894,3.2559390971987403,-122,-60.53388905428203,31.751666999999998,-86.681969
7,Alabama,AL,1015,Calhoun County,605.889,6.4066968009751175,115620,11.658064230636468,190.82703267430173,5.251367429661349,-373,-32.26085452343885,33.771706,-85.822513
8,Alabama,AL,1017,Chambers County,596.531,6.39113121001156,34123,10.437726922711134,57.202391828756596,4.046595712699574,71,20.80708026844064,32.915504,-85.394032
9,Alabama,AL,1019,Cherokee County,553.72,6.3166591438195345,25859,10.160413981817907,46.70049844686845,3.843754837998372,-136,-52.59290769171275,34.069515,-85.65424200000001
10,Alabama,AL,1021,Chilton County,692.8539999999999,6.540819298783453,43943,10.690648618528321,63.42317429068751,4.1498293197448675,22,5.006485674623945,32.854051,-86.726607
11,Alabama,AL,1023,Choctaw County,913.5,6.817283375818062,13170,9.485696794737327,14.417077175697866,2.668413418919265,-119,-90.3568716780562,31.990996999999997,-88.248908
12,Alabama,AL,1025,Clarke County,1238.4660000000001,7.121628795989001,24675,10.113545864301683,19.923841268149467,2.9919170683126817,-172,-69.70618034447821,31.685521,-87.818624
13,Alabama,AL,1027,Clay County,603.961,6.403509626313689,13555,9.514510761932765,22.44350214666179,3.111001135619077,17,12.541497602360753,33.2704,-85.863525
14,Alabama,AL,1029,Cleburne County,560.105,6.328124266153267,15018,9.61700476065983,26.8128297372814,3.288880494506562,-54,-35.95685177786656,33.671964,-85.516126
15,Alabama,AL,1031,Coffee County,678.9860000000001,6.52060050878943,51211,10.843709631701985,75.42276276683171,4.323109122912556,380,74.2028079904708,31.402258000000003,-85.989602
16,Alabama,AL,1033,Colbert County,592.62,6.384553384148091,54354,10.903273486897342,91.71813303634707,4.518720102749252,-126,-23.181366596754607,34.703112,-87.801457
17,Alabama,AL,1035,Conecuh County,850.1569999999999,6.745421038310684,12672,9.447150114054207,14.905482163882672,2.7017290757435233,10,7.891414141414141,31.430926,-86.988722
18,Alabama,AL,1037,Coosa County,650.9259999999999,6.478395964472538,10724,9.28023949935585,16.4749910128033,2.8018435348833113,-83,-77.39649384558001,32.931445000000004,-86.243482
19,Alabama,AL,1039,Covington County,1030.4569999999999,6.937757672143069,37835,10.540989879128622,36.716718892685485,3.603232206985554,-53,-14.00819347165323,31.243987,-86.44872099999999
20,Alabama,AL,1041,Crenshaw County,608.84,6.4115555074114665,13963,9.544166252942194,22.93377570461862,3.132610745530729,15,10.742677075127121,31.732826,-86.319222
21,Alabama,AL,1043,Cullman County,734.898,6.599731714072421,82005,11.31453549999721,111.58691410236523,4.714803785924789,784,95.60392658984209,34.131923,-86.86926700000001
22,Alabama,AL,1045,Dale County,561.15,6.329988249462265,49565,10.811040218466998,88.32754165552883,4.481051969004733,64,12.912337334812872,31.430653999999997,-85.609476
23,Alabama,AL,1047,Dallas County,978.695,6.886220051600905,41131,10.624517374082325,42.02637185231354,3.7382973224814218,-531,-129.09970581799615,32.33354,-87.114356
24,Alabama,AL,1049,DeKalb County,777.0939999999999,6.655561321171363,71130,11.17226446772756,91.5333280143715,4.516703146556198,118,16.589343455644595,34.460929,-85.80399200000001
25,Alabama,AL,1051,Elmore County,618.488,6.42727778986583,81468,11.307965584089647,131.72122983792732,4.880687794223818,446,54.74542151519615,32.597229,-86.142735
26,Alabama,AL,1053,Escambia County,945.08,6.851269579995275,37789,10.539773333966417,39.98497481694671,3.688503753971143,5,1.3231363624335124,31.122287,-87.16841
27,Alabama,AL,1055,Etowah County,535.284,6.2827974471711965,103057,11.543037512201789,192.52770491925781,5.260240065030593,-395,-38.3283037542331,34.047641,-86.034263
28,Alabama,AL,1057,Fayette County,627.684,6.442036855114911,16759,9.726690706384874,26.699740633822117,3.2846538512699626,-83,-49.52562802076496,33.716157,-87.764292
29,Alabama,AL,1059,Franklin County,633.817,6.45176026923854,31696,10.363945768938333,50.00812537372775,3.912185499699792,104,32.81171125694094,34.441989,-87.842814
30,Alabama,AL,1061,Geneva County,574.408,6.353339945213628,26777,10.195298589071585,46.61669057534017,3.841958643857958,70,26.141838144676402,31.092392999999998,-85.821011
31,Alabama,AL,1063,Greene County,647.105,6.472508568814392,8479,9.045347797304004,13.1029740150362,2.572839228489611,-74,-87.27444274088926,32.844497,-87.9642
